Time (ms),Voltage (mV)
5345.924854278564,2807.25
5354.405879974365,2266.3125
5363.642692565918,1644.9375
5370.842933654785,1245.5625
5378.739833831787,959.4375
5385.970830917358,931.875
5393.6498165130615,1120.5
5401.894807815552,1612.875
5410.806655883789,2232.9375
5417.86789894104,2662.125
5424.818992614746,2974.875
5432.124853134155,3113.0625
5438.944101333618,3052.6875
5446.586847305298,2747.0625
5453.749418258667,2337.9375
5464.069128036499,1641.1875
5472.411394119263,1138.3125
5482.980728149414,910.5
5492.913722991943,1122.75
5502.8977394104,1690.875
5512.8984451293945,2313.0
5522.477626800537,2889.9375
5533.031225204468,3117.0
5542.824268341064,2948.4375
5552.9749393463135,2335.125
5561.927795410156,1789.6875
5568.8488483428955,1299.1875
5575.873136520386,1014.1875
5583.956718444824,912.375
5590.909004211426,1040.4375
5598.587274551392,1409.4375
5605.527400970459,1847.8125
5613.472700119019,2391.375
5620.373725891113,2788.125
5628.176212310791,3069.9375
5635.748624801636,3107.0625
5646.343469619751,2798.8125
5655.06386756897,2254.6875
5665.52472114563,1489.6875
5676.216125488281,1012.125
5686.748027801514,934.125
5697.977304458618,1349.0625
5707.930326461792,1931.0625
5720.288515090942,2791.6875
5730.121850967407,3091.5
5740.6487464904785,2982.9375
5752.179861068726,2400.375
5763.5698318481445,1628.625
5775.900602340698,1044.9375
5787.489414215088,954.9375
5799.643754959106,1418.25
5809.791326522827,2094.5625
5817.927122116089,2676.9375
5828.989267349243,3073.3125
5838.900566101074,3046.3125
5850.081443786621,2538.1875
5859.06982421875,1929.9375
5870.445251464844,1229.25
5883.470058441162,909.9375
5895.710468292236,1238.0625
5907.455921173096,1942.875
5919.589042663574,2742.5625
5929.962158203125,3093.375
5940.327882766724,3013.3125
5950.848340988159,2533.6875
5961.965799331665,1768.6875
5970.186710357666,1282.5
5981.715440750122,919.5
5992.883682250977,1092.0
6002.705097198486,1640.0625
6013.683557510376,2412.0
6022.826910018921,2905.3125
6034.222841262817,3112.6875
6046.127796173096,2783.0625
6056.383371353149,2154.9375
6068.610429763794,1339.125
6078.912973403931,949.875
6088.675260543823,986.0625
6099.578857421875,1432.6875
6109.653472900391,2111.0625
6117.479085922241,2626.5
6126.4379024505615,3025.5
6134.42063331604,3112.5
6141.686201095581,2972.25
6149.996519088745,2524.125
6156.989097595215,2071.5
6164.407253265381,1608.1875
6171.572685241699,1165.875
6180.2544593811035,930.5625
6187.210559844971,940.125
6194.653034210205,1194.75
6201.590061187744,1576.125
6210.116624832153,2115.5625
6218.3427810668945,2693.4375
6226.890802383423,3027.1875
6235.117197036743,3111.9375
6243.3881759643555,2882.0625
6251.800775527954,2449.3125
6259.135961532593,1988.625
6267.523527145386,1396.125
6274.599552154541,1071.375
6283.311367034912,910.3125
6290.484666824341,1021.3125
6300.081253051758,1508.8125
6306.9517612457275,1962.0
6314.897775650024,2496.9375
6321.71368598938,2865.375
6330.772876739502,3109.5
6337.566375732422,3063.9375
6347.128391265869,2714.25
6356.0991287231445,2142.0
6363.572597503662,1674.75
6370.3601360321045,1268.8125
6378.73387336731,946.875
6385.567426681519,926.0625
6394.168138504028,1148.8125
6402.097940444946,1583.8125
6409.336805343628,2123.8125
6416.226863861084,2570.0625
6423.057556152344,2916.0
6430.465459823608,3098.25
6437.326669692993,3084.375
6444.48447227478,2825.8125
6451.279878616333,2441.8125
6458.1310749053955,1980.1875
6465.234994888306,1524.9375
6472.07498550415,1157.8125
6479.328870773315,945.5625
6486.147403717041,926.8125
6493.439435958862,1151.4375
6501.393556594849,1587.5625
6508.2597732543945,2049.375
6515.292406082153,2504.625
6522.088527679443,2870.8125
6529.395818710327,3081.9375
6536.195993423462,3099.9375
6543.418884277344,2873.8125
6551.354885101318,2438.0625
6558.361291885376,1976.0625
6565.367221832275,1521.0
6572.170972824097,1155.0
6579.474687576294,944.4375
6586.2462520599365,927.375
6593.467712402344,1153.875
6601.429462432861,1591.875
6608.324289321899,2053.5
6615.285396575928,2508.1875
6622.054815292358,2873.4375
6629.275560379028,3083.0625
6636.091232299805,3099.1875
6643.415927886963,2871.75
6651.3330936431885,2506.125
6658.153533935547,2050.875
6665.21143913269,1517.4375
6671.989917755127,1152.75
6679.204702377319,943.6875
6685.965061187744,928.125
6693.471670150757,1156.5
6701.403856277466,1523.625
6708.29701423645,2057.25
6715.725898742676,2511.9375
6722.488641738892,2876.0625
6729.966402053833,3100.3125
6736.78183555603,3081.375
6744.295835494995,2869.3125
6751.091003417969,2502.375
6757.925987243652,2046.75
6765.122175216675,1513.875
6773.042440414429,1103.25
6781.066417694092,926.25
6787.988185882568,969.1875
6795.184373855591,1211.25
6803.105354309082,1673.0625
6810.78577041626,2217.9375
6817.639112472534,2650.3125
6824.493169784546,2967.375
6831.7625522613525,3111.75
6838.611602783203,3057.5625
6846.600770950317,2758.125
6853.593587875366,2352.1875
6862.142324447632,1730.625
6869.011640548706,1312.875
6876.6491413116455,989.625
6883.841753005981,911.0625
6890.76042175293,1032.0
6898.3800411224365,1394.4375
6905.457973480225,1830.0
6913.3195877075195,2374.125
6920.18723487854,2775.0
6927.66261100769,3037.6875
6934.690475463867,3109.125
6941.867351531982,2955.75
6949.100971221924,2631.375
6955.919504165649,2195.625
6964.0092849731445,1651.875
6970.861911773682,1251.0
6978.715896606445,961.875
6985.470294952393,918.1875
6994.10080909729,1164.1875
7002.122640609741,1606.5
7011.45076751709,2226.0
7020.017623901367,2778.1875
7030.266046524048,3102.375
7040.2655601501465,2992.125
7050.983428955078,2490.9375
7062.736988067627,1722.375
7072.159767150879,1141.875
